event,event_date,state,year,link,web_source,gender,added,division
James Madison August Showcase,"August 24, 2024","Harrisonburg, VA",2025-2029,https://laxology.totalcamps.com/shop/EVENT,mass_elite,,,
Penn State Elite Clinic,"August 24, 2024","University Park, PA",2025-2029,https://gopsusports.com/sports/2018/8/8/camps-w-lacros-camp-html.aspx,mass_elite,,,
Richmond End of Summer Prospect Dy,"August 24, 2024","Richmond, MA",2025-2027,https://richmondspiderswomenslacrossecamps.totalcamps.com/About%20Us,mass_elite,,,
UVA ID Elite,"August 24-25, 2024","Charlottesville, VA",2025-2028,https://www.lamonicasports.com/uva-id-elite,mass_elite,,,
BU Terrier August Prospect Clinic,"August 25, 2024","Boston, MA",2025-2029,https://bostonulacrossecamps.com/camp2.html,mass_elite,,,
August Elite Prospect Clinic at Virginia Tech,"August 25, 2024","Blacksburg, VA",2025-2028,https://skieralacrossecamps.com/camp2.html,mass_elite,,,
Prospect Day,12/2/2023,,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
Prospect Day,12/2/2023,South Carolina,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,Virginia,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,California,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,Virginia,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,New Hampshire,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,North Carolina,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,South Carolina,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,Virginia,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,Virginia,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,Florida,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,Pennsylvania,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,Michigan,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,Pennsylvania,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,Virginia,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,North Carolina,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,Florida,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,Florida,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,Michigan,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,California,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,North Carolina,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,California,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,Virginia,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,North Carolina,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,Michigan,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,Michigan,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,Massachusetts,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,Massachusetts,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
Prospect Day,12/2/2023,,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
Prospect Day,12/2/2023,South Carolina,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,Virginia,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,California,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,Virginia,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,New Hampshire,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,North Carolina,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,South Carolina,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,Virginia,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,Virginia,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,Florida,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,Pennsylvania,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,Michigan,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,Pennsylvania,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,Virginia,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,North Carolina,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,Florida,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,Florida,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,Michigan,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,California,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,North Carolina,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,California,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,Virginia,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,North Carolina,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,Michigan,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,Michigan,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,Massachusetts,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,Massachusetts,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
Prospect Day,12/2/2023,,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
Prospect Day,12/2/2023,,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
Prospect Day,12/2/2023,,,https://ngulacrossecamps.com/,airtable,Men,8/11/2023,D2
7 v 7 HS Tournament,12/2/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Elite Camp 2-Day,12/2/2023,,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,9/12/2023,D1
Junior Day,12/2/2023,,,,airtable,Women,9/26/2023,D3
Prospect Clinic,12/2/2023,,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/2/2023,,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/2/2023,,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/3/2023,,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,8/11/2023,D3
7 v 7 HS Tournament,12/3/2023,,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,8/29/2023,D3
Prospect Clinic,12/3/2023,,,kglaxllc.com,airtable,Women,9/5/2023,D2
Prospect Day,12/3/2023,,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,9/13/2023,D1
Winter Skill Clinic,12/3/2023,,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,9/27/2023,D1
Prospect Clinic,12/3/2023,,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,9/27/2023,D1
Prospect Day,12/9/2023,,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,8/24/2023,D3
Winter Camp 3-Day,12/27/2023,,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,1/5/2024,,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,9/10/2023,D2
Winter College Showcase,1/7/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect ID Clinic,1/11/2024,,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,9/26/2023,D2
UNC High School Select Camp 3-Day,1/12/2024,,,,airtable,Men,9/8/2023,D1
Winter ID Clinic,1/15/2024,,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,9/25/2023,D3
Prospect Day,1/27/2024,,,https://www.eagleslacrossecamps.com/,airtable,Men,7/31/2023,D3
Prospect Clinic,1/27/2024,,,,airtable,Women,10/5/2023,D1
Winter Wonderlax 5v5,2/3/2024,,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,8/4/2023,D2
Prospect Clinic,2/11/2024,,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,8/4/2023,D2
Prospect Day,2/18/2024,,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/3/2023,D2
Prospect Day,2/25/2024,,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
