rank,club,rating,link,gender,class,season
1,M&D 2024 Black,99.9,,girls,2024,2022
2,CT Grizzlies 2024 Navy,99.67,,girls,2024,2022
3,Sky Walkers 2024 Blue,98.77,,girls,2024,2022
4,STEPS Elite NJ 2024 Blue,98.55,,girls,2024,2022
5,LI Yellow Jackets Swarm 2024 Weiner,98.5,,girls,2024,2022
6,Monster Elite 2024 Purple,98.11,,girls,2024,2022
7,Hero's 2024 Green,97.91,,girls,2024,2022
8,Capital 2024 Blue,97.77,,girls,2024,2022
9,NEMS 2024,97.77,,girls,2024,2022
10,Florida Select 2024,97.13,,girls,2024,2022
11,Integrity 2024 Green,96.55,,girls,2024,2022
12,Team 180 2024,96.23,,girls,2024,2022
13,LI Legacy 2024 Blue,96.2,,girls,2024,2022
14,Primetime 2024,96.08,,girls,2024,2022
15,Big 4 HHH 2024,95.86,,girls,2024,2022
16,DEWLAX 2024 Black,95.82,,girls,2024,2022
17,Mass Elite 2024 Red,95.19,,girls,2024,2022
18,Mad Dog West Elite 2024,95.12,,girls,2024,2022
19,Cav Lax Elite 2024,95.11,,girls,2024,2022
20,STEPS California 2024,95.02,,girls,2024,2022
21,South Jersey Select 2024 Pink,95.0,,girls,2024,2022
22,LI Yellow Jackets 2024 White,94.93,,girls,2024,2022
23,Jersey Shore Select 2024 Blue,94.84,,girls,2024,2022
24,Ultimate CC 2024 Blue,94.72,,girls,2024,2022
25,LI Yellow Jackets 2024 Ramos,94.51,,girls,2024,2022
26,LI Top Guns 2024 Black,94.48,,girls,2024,2022
27,Salt City Snipers 2024,94.34,,girls,2024,2022
28,Team 91 Carolina 2024 Flight,94.26,,girls,2024,2022
29,M&D 2024 Red,94.07,,girls,2024,2022
30,LI Liberty 2024 Black,93.9,,girls,2024,2022
31,3D Colorado 2024 AA,93.76,,girls,2024,2022
32,BBL Elite 2024 Black,93.64,,girls,2024,2022
33,Storm Select 2024,93.58,,girls,2024,2022
34,Phantastix 2024 Purple,93.51,,girls,2024,2022
35,LI Yellow Jackets 2024 Kildare,93.46,,girls,2024,2022
36,Aim 2024,93.38,,girls,2024,2022
37,M&D Orlando 2024 Black,93.37,,girls,2024,2022
38,LI Yellow Jackets 2024 Gold,93.3,,girls,2024,2022
39,Pride 2024 Black,93.29,,girls,2024,2022
40,Predators 2024,93.22,,girls,2024,2022
41,No Excuse 2024,93.1,,girls,2024,2022
42,Eagle Stix 2024 Blue,93.06,,girls,2024,2022
43,Renegades 2024,92.94,,girls,2024,2022
44,MD United 2024 East,92.85,,girls,2024,2022
45,Check-Hers 2024 Black,92.71,,girls,2024,2022
46,MFL 2024 Black,92.69,,girls,2024,2022
47,Laxachusetts 2024 Black,92.63,,girls,2024,2022
48,Sky Walkers 2024 White,92.59,,girls,2024,2022
49,Lax Maniax 2024 Black,92.44,,girls,2024,2022
50,TLC 2024 Red,92.41,,girls,2024,2022
51,Tenacity 2024,92.38,,girls,2024,2022
52,NXT 2024 Black,92.37,,girls,2024,2022
53,Xtreme 2024,92.36,,girls,2024,2022
54,Yellow Jackets South 2024,92.17,,girls,2024,2022
55,Ultimate 2024 Hustle,92.14,,girls,2024,2022
56,Southern Zone 2024,92.09,,girls,2024,2022
57,Hero's 2024 White,91.88,,girls,2024,2022
58,CLC 2024 Pride,91.8,,girls,2024,2022
59,Checkhers 2024,91.8,,girls,2024,2022
60,NH Tomahawks 2024 Purple,91.65,,girls,2024,2022
61,Monster Elite 2024 White,91.62,,girls,2024,2022
62,Lake Effect Storm 2024 Elite,91.53,,girls,2024,2022
63,Snipers Elite 2024,91.44,,girls,2024,2022
64,Ultimate PA 2024 Blue,91.14,,girls,2024,2022
65,Charlotte Style 2024,91.1,,girls,2024,2022
66,REV 2024 Black,91.1,,girls,2024,2022
67,Team CO Select Blue,91.04,,girls,2024,2022
68,Cavalier 2024,90.91,,girls,2024,2022
69,Coppermine 2024 Black,90.71,,girls,2024,2022
70,Team 91 Long Island 2024 Orange,90.7,,girls,2024,2022
71,LI Jesters 2024 Black,90.68,,girls,2024,2022
72,Capital 2024 Orange,90.6,,girls,2024,2022
73,True National 2024,90.56,,girls,2024,2022
74,Lacrosse Monkey 2024,90.54,,girls,2024,2022
75,UPROAR 2024 ELITE,90.34,,girls,2024,2022
76,Gold Coast 2024 Gold,90.32,,girls,2024,2022
77,Bay State Bullets 2024 Silver,90.24,,girls,2024,2022
78,Team BC Sophomores,90.23,,girls,2024,2022
79,DK3 2024,90.2,,girls,2024,2022
80,Atlanta Storm 2024 Blue,90.17,,girls,2024,2022
81,Triumph 2024,90.13,,girls,2024,2022
82,Lakeshore NP 2024,90.12,,girls,2024,2022
83,PA Express 2024 Orange,90.12,,girls,2024,2022
84,Relentless Hustle 2024,89.81,,girls,2024,2022
85,ESLC Pirates 2024,89.78,,girls,2024,2022
86,Tenacity Bay Area 2024,89.78,,girls,2024,2022
87,Sound 2024,89.62,,girls,2024,2022
88,C2 Select 2024 Black,89.6,,girls,2024,2022
89,Lakeshore 2024,89.59,,girls,2024,2022
90,True Illinois 2024 State,89.59,,girls,2024,2022
91,Middlesex Bears 2024,89.49,,girls,2024,2022
92,HOCO 2024 Black,89.48,,girls,2024,2022
93,LI Empire 2024 Bengals,89.28,,girls,2024,2022
94,Philly Blast 2024 Fight,89.18,,girls,2024,2022
95,NC Fusion 2024,89.09,,girls,2024,2022
96,York Invaders 2024,89.07,,girls,2024,2022
97,Dynasty Elite 2024 Zulu,89.03,,girls,2024,2022
98,Ultimate NJ 2024 Blue,88.98,,girls,2024,2022
99,LI Yellow Jackets 2024 O'Sullivan,88.98,,girls,2024,2022
100,Integrity 2024 Blue,88.96,,girls,2024,2022
101,Mad Dog NJ North 2024 Black,88.85,,girls,2024,2022
102,Major Force Black 2024,88.83,,girls,2024,2022
103,All Lax 2024,88.68,,girls,2024,2022
104,Team ONE Wildcat 2024,88.65,,girls,2024,2022
105,ADK Peak 2024,88.57,,girls,2024,2022
106,Coast 2024 Elite,88.55,,girls,2024,2022
107,214Lax Dallas 2024,88.39,,girls,2024,2022
108,DEWLAX 2024 BLUE,88.32,,girls,2024,2022
109,Blue Devils 2024,88.28,,girls,2024,2022
110,VA Metro 2024 Navy,88.25,,girls,2024,2022
111,Philly Blast 2024 Fire,88.2,,girls,2024,2022
112,Nor'easter 2024 Power,88.12,,girls,2024,2022
113,Dynasty 2024 Zulu,88.09,,girls,2024,2022
114,Triumph 2024 National Premier,88.05,,girls,2024,2022
115,Triple Threat Elite Central 2024,88.01,,girls,2024,2022
116,Redshirts 2024,88.0,,girls,2024,2022
117,LI Top Guns 2024 Purple,87.96,,girls,2024,2022
118,Oregon Pride 2024,87.96,,girls,2024,2022
119,GRIT Dallas 2024,87.94,,girls,2024,2022
120,GRIT Austin 2024,87.9,,girls,2024,2022
121,Minnesota Elite 2024,87.81,,girls,2024,2022
122,3D New England 2024,87.78,,girls,2024,2022
123,FLG 2024,87.77,,girls,2024,2022
124,STEPS Elite NJ 2024 White,87.77,,girls,2024,2022
125,Laxachusetts 2024 Yellow,87.64,,girls,2024,2022
126,Ultimate 2024 Power,87.59,,girls,2024,2022
127,Belles 2024,87.56,,girls,2024,2022
128,Metro 2024 Blue,87.56,,girls,2024,2022
129,Team BC 2024,87.54,,girls,2024,2022
130,SJ Shamrocks 2024,87.47,,girls,2024,2022
131,Nor'easter 2024 Grit,87.45,,girls,2024,2022
132,Mass Elite 2024 White,87.4,,girls,2024,2022
133,CCLax 2024 Black,87.2,,girls,2024,2022
134,Impact 2024,87.12,,girls,2024,2022
135,518Excelerate 2024,86.99,,girls,2024,2022
136,Gold Star 2024,86.89,,girls,2024,2022
137,Lady Blue Crabs 2024,86.89,,girls,2024,2022
138,Ultimate NC 2024 Blue,86.89,,girls,2024,2022
139,Granite State Elite 2024,86.88,,girls,2024,2022
140,MC Elite 2024 Midnight,86.77,,girls,2024,2022
141,Reign 2024,86.77,,girls,2024,2022
142,Lax On Elite 2024,86.76,,girls,2024,2022
143,Grit Houston 2024,86.61,,girls,2024,2022
144,Ultimate CLT 2024 Blue,86.53,,girls,2024,2022
145,3D Nation's Best 2024,86.38,,girls,2024,2022
146,NXT 2024 Volt,86.33,,girls,2024,2022
147,TLC 2024 Gold,86.32,,girls,2024,2022
148,Fire 2024,86.31,,girls,2024,2022
149,Yellow Jackets North 2024 Rockland,86.29,,girls,2024,2022
150,Bluegrass Premier 2024,86.18,,girls,2024,2022
151,Phantastix 2024 West,86.02,,girls,2024,2022
152,Yellow Jackets North 2024 Mager,86.01,,girls,2024,2022
153,Summit 2024 Black,85.86,,girls,2024,2022
154,DEWLAX 2024 Blue-White,85.75,,girls,2024,2022
155,Eagle Stix 2024 Grey,85.66,,girls,2024,2022
156,Pittsburgh Premier 2024 Blue,85.63,,girls,2024,2022
157,Indy United 2024,85.46,,girls,2024,2022
158,Lax Maniax 2024 White,85.39,,girls,2024,2022
159,CLC 2024 Bold,85.36,,girls,2024,2022
160,Orange Crush 2024,85.36,,girls,2024,2022
161,CCLAX 2024,85.35,,girls,2024,2022
162,BBL Elite 2024 Select,85.28,,girls,2024,2022
163,Common Goal 2024,85.2,,girls,2024,2022
164,Pride 2024 Loudon,85.13,,girls,2024,2022
165,Monster Elite 2024 Orange,85.12,,girls,2024,2022
166,Lucky Lax 2024,84.97,,girls,2024,2022
167,ADK 2024,84.94,,girls,2024,2022
168,True MN 2024 AAA,84.93,,girls,2024,2022
169,True CA Attack 2024,84.7,,girls,2024,2022
170,Limitless 2024,84.55,,girls,2024,2022
171,South Jersey Select 2024 Black,84.46,,girls,2024,2022
172,Coastal Crush 2024,84.22,,girls,2024,2022
173,Seattle Starz 2024,84.19,,girls,2024,2022
174,Madlax Capital Blue,84.06,,girls,2024,2022
175,HOCO 2024 Pink,83.86,,girls,2024,2022
176,Empress 2024,83.62,,girls,2024,2022
177,Yellow Jackets North 2024 Kaishan,83.62,,girls,2024,2022
178,Georgia Lady Outlaws 2024,83.58,,girls,2024,2022
179,Rebels 2024 Gold,83.46,,girls,2024,2022
180,Virginia One 2024 Gray,83.46,,girls,2024,2022
181,Phantastix 2024 White,83.41,,girls,2024,2022
182,Coppermine North 2024,83.25,,girls,2024,2022
183,DEWLAX CT 2024,83.21,,girls,2024,2022
184,MFL 2024 Blue,83.19,,girls,2024,2022
185,Yellow Jackets North Mid Atlantic 2024,83.02,,girls,2024,2022
186,DEWLAX 2024 CT,83.0,,girls,2024,2022
187,Denver Pride 2024,82.92,,girls,2024,2022
188,TLC 2024 White,82.87,,girls,2024,2022
189,Team Elevate 2024 Blue,82.84,,girls,2024,2022
190,Crush Elite 2024,82.77,,girls,2024,2022
191,Resolute 2024 Black,82.67,,girls,2024,2022
192,Recon 2024,82.64,,girls,2024,2022
193,DEWLAX 2024 White,82.45,,girls,2024,2022
194,VA Metro 2024 Orange,82.37,,girls,2024,2022
195,ICON 2024,82.36,,girls,2024,2022
196,UPROAR 2024 SELECT,82.23,,girls,2024,2022
197,Atlanta Storm 2024 Orange,82.17,,girls,2024,2022
198,True CO 2024 State,82.09,,girls,2024,2022
199,Florida Shine Elite 2024,82.0,,girls,2024,2022
200,LI Jesters 2024 Pink,81.84,,girls,2024,2022
201,Cavalier NoVa 2024,81.72,,girls,2024,2022
202,Medusa 2024,81.69,,girls,2024,2022
203,NH Tomahawks 2024 Gold,81.68,,girls,2024,2022
204,True Pittsburg 2024,81.56,,girls,2024,2022
205,Mad Dog NJ 2024 Red,81.42,,girls,2024,2022
206,Metro 2024 Green,81.4,,girls,2024,2022
207,Dynasty Elite 2024 Bravo,80.99,,girls,2024,2022
208,Jets Pink '23-'24,80.67,,girls,2024,2022
209,Mad Dog NJ North 2024 Red,80.67,,girls,2024,2022
210,Yellow Jackets North 2023-2024 Rockland,80.67,,girls,2024,2022
